㜧,waat1
㜩,ou3
㜪,saan1
㜪,sin2
㜫,mei5
㜮,lam6
㜯,hei1
㜰,jeuk6
㜱,jaat1
㜲,jing4
㜳,gwaai1
㜳,wai4
㜴,mung6
㜵,niu5
㜶,man5
㜶,man6
㜷,laau4
㜷,nai5
㜸,jip6
㜸,jit6
㜸,jyu1
㜹,keui4
㜺,jaan2
㜻,lyun2
㜼,dip6
㜼,jaat6
㜼,jit1
㜽,daai2
㜽,ji2
㜾,hai4
㜿,jeui6
㜿,jok6
㝀,hou3
㝁,king4
㝂,chaam4
㝂,dap3
㝂,gei1
㝂,jaai3
㝂,jit3
㝃,hei1
㝃,min5
㝄,jeut1
㝄,seun4
㝅,gaau3
㝅,jyu5
㝇,seun4
㝈,lyun4
㝉,chyu5
㝊,saau2
㝋,liu5
㝌,gaau3
㝍,se2
㝎,ding6
㝏,gaai3
㝐,jung2
㝐,jung4
㝑,pong4
㝒,geui1
㝓,gaap3
㝓,hau1
㝓,kaap6
㝔,jiu3
㝕,fai3
㝕,ning4
㝖,ji4
㝗,gong1
㝘,jung4
㝙,jaan4
㝛,suk1
㝜,sik1
㝝,lam4
㝝,lam6
㝞,a1
㝟,mou6
㝟,mui6
㝠,ming4
㝡,jeui3
㝡,jyu4
㝢,jyu5
㝤,gaau3
㝥,maai5
㝦,jeun3
㝧,waan2
㝩,hoi1
㝪,dim3
㝫,lung4
㝭,sing2
㝯,kiu4
㝰,maan5
㝰,min4
㝱,mung6
㝲,chaam2
㝴,jyun4
㝵,daak1
㝵,ngoi6
㝶,daak1
㝸,beng2
㝸,bin6
㝺,lim4
㝻,gaan2
㝼,jyu1
㝽,chai1
㝽,cheui4
㝽,cheuk3
㝾,jo2
㝿,bo2
㞀,fui1
㞁,jiu6
㞂,teui2
㞃,gik6
㞄,aam1
㞄,an2
㞅,gwo2
㞅,kong3
㞅,kwok3
㞆,gei1
㞇,waai2
㞈,bui6
㞈,but6
㞉,jat3
㞊,seut1
㞋,nin2
㞌,jaan6
㞌,lai1
㞎,ba2
㞎,pa4
㞏,jaat6
㞐,geui1
㞑,mei5
㞒,aai3
㞓,hei3
㞔,yi4
㞕,ngaat6
㞕,sit3
㞖,chi1
㞖,chi3
㞖,ji4
㞗,gau1
㞘,tyun4
㞙,niu6
㞚,kaai3
㞛,gei2
㞜,teui1
㞟,din6
㞠,liu4
㞡,jin2
㞢,ji1
㞣,faan1
㞤,saam4
㞥,chip3
㞥,gip3
㞥,saam4
㞥,seun2
㞦,gei2
㞧,wui6
㞨,ji1
㞨,ji2
㞩,lam4
㞪,mau6
㞪,nau4
㞫,jaau2
㞫,jau2
㞭,dai6
㞯,jit3
㞰,heui2
㞱,chung1
㞲,jung6
㞳,daau2
㞴,chi4
㞵,tou1
㞶,maan4
㞷,wong4
㞸,seui3
㞹,ho2
㞺,juk6
㞻,hou6
㞼,nip6
㞼,sing4
㞽,hyut3
㞾,nei4
㞿,kei4
㟀,lin4
㟁,ngang6
㟁,ngon6
㟂,mou5
㟃,si1
㟄,cheung4
㟅,jeung4
㟅,jeung6
㟅,ou2
㟆,wa4
㟇,cho4
㟈,kaau4
㟉,lou4
㟊,fu1
㟋,deui3
㟌,mong4
㟍,long4
㟎,to5
㟏,haam4
㟐,mong5
㟑,but6
㟒,kwaan1
㟓,kei4
㟔,haam4
㟖,lung6
㟗,baan1
㟘,tiu4
㟙,jak6
㟚,kei4
㟛,jan2
㟛,jan3
㟜,nei4
㟝,pui4
㟞,jan2
㟞,jan6
㟟,hong2
㟟,hong6
㟟,hot3
㟠,gong1
㟢,kei4
㟤,luk6
㟥,chaam1
㟦,waan6
㟧,hon6
㟧,jim4
㟧,ngok6
㟨,chyun4
㟩,maan4
㟪,waai1
㟫,chyun4
㟬,saau2
㟬,sou2
㟭,maan4
㟮,daat6
㟮,daau6
㟰,ming5
㟱,jip6
㟱,ngau5
㟱,ngo4
㟱,paau4
㟲,jyun4
㟳,gak3
㟳,ham2
㟳,leut6
㟴,fai3
